//|--------------------------------------------------------------------------------------------------------------|
//|---www.ionmuonline.com-------------------------Shops------------------------------IonGamesNetworks------------|
//|--------------------------------------------------------------------------------------------------------------|
//|---------------------------------------------MrJimmYToO-------------ionmuonline@hotmail.com-------------------|
//|--------------------------------------------------------------------------------------------------------------|		

//Index	Item	   Level	   Durabil.	   Skill	    Luck	 Options	  exe	    Name Item
7 	59 	0	255 	2 	2	2	0	//Dragon Helm
7 	60 	0 	255 	2 	2	2	0	//Black Dragon Helm
7 	61 	0	255 	2 	2	2	0	//Dark Phoenix Helm
8 	59 	0	255 	2 	2	2	0	//Dragon Armor
8 	60 	0	255 	2 	2	2	0	//Black Dragon Armor
8 	61 	0	255 	2 	2	2	0	//Dark Phoenix Armor
9 	59 	0	255 	2 	2	2 	0	//Dragon Pants
9 	60 	0	255 	2 	2	2 	0	//Black Dragon Pants
9 	61 	0	255 	2 	2	2	0	//Dark Phoenix Pants
0 	32 	0	255	2 	2	2	0	//Dragon Gloves
0 	33 	0	255 	2 	2	2 	0	//Black Dragon Gloves
0 	34 	0	255 	2 	2	2	0	//Dark Phoenix Gloves

11 	59 	0	255	2 	2	2 	0	//Dragon Boots
11 	60 	0	255 	2 	2	2 	0	//Black Dragon Boots
11	61 	0	255 	2 	2	2	0	//Dark Phoenix Boots
0 	13 	0	255	2 	2	2 	0	//Double Blade

//
15 	30 	0 	255 	0 	0 	0 	0	//RF
15 	31 	0 	255 	0 	0 	0 	0	//RF
15 	32 	0 	255 	0 	0 	0 	0	//RF
15 	33 	0 	255 	0 	0 	0 	0	//RF
15 	34 	0 	255 	0 	0 	0 	0	//RF
15 	35 	0 	255 	0 	0 	0 	0	//RF
15 	36 	0 	255 	0 	0 	0 	0	//RF
end
