1
//CatID	Sort	PackID	ProdID	ItemID	Pk.Val	Pr.Opt1	Pr.Opt2	Pr.Opt3	Pr.Opt4
13	3	260	281	7330	10000	349	0	0	0
13	4	258	282	7331	50000	350	0	0	0
13	7	98	22	7221	1000	37	38	0	0
22	1	124	9	6699	5000	9	10	11	12
22	2	122	10	6700	10000	13	14	15	16
22	3	120	11	6701	5000	17	18	19	0
22	6	50	50	6749	5000	77	78	79	0
23	1	30	60	6736	5000	99	100	0	0
23	2	28	61	6779	5000	101	102	0	0
23	3	10	72	6762	5000	121	122	0	0
23	4	102	20	6720	2000	31	32	33	0
24	1	36	57	6732	2000	93	94	0	0
24	2	34	58	6676	2000	95	96	0	0
24	4	32	59	6778	2000	97	98	0	0
25	4	118	12	6702	1000	20	21	0	0
25	5	116	13	6703	1000	22	23	0	0
25	6	104	19	6717	1500	29	30	0	0
25	7	56	47	6704	1000	73	74	0	0
26	1	4	76	7301	2000	129	0	0	0
26	2	96	23	7238	2000	39	0	0	0
26	3	94	24	7239	2000	40	0	0	0
27	4	261	281	7330	10000	349	0	0	0
27	5	259	282	7331	50000	350	0	0	0
27	13	99	22	7221	1000	37	38	0	0
29	1	125	9	6699	5000	9	10	11	12
29	2	123	10	6700	10000	13	14	15	16
29	3	121	11	6701	5000	17	18	19	0
29	6	51	50	6749	5000	77	78	79	0
30	1	31	60	6736	5000	99	100	0	0
30	2	29	61	6779	5000	101	102	0	0
30	3	11	72	6762	5000	121	122	0	0
30	4	103	20	6720	2000	31	32	33	0
30	5	101	21	6721	1500	34	35	36	0
31	1	37	57	6732	2000	93	94	0	0
31	2	35	58	6676	2000	95	96	0	0
31	4	33	59	6778	2000	97	98	0	0
32	4	119	12	6702	1000	20	21	0	0
32	5	117	13	6703	1000	22	23	0	0
32	6	105	19	6717	1500	29	30	0	0
32	7	57	47	6704	1000	73	74	0	0
46	1	5	76	7301	2000	129	0	0	0
46	2	97	23	7238	2000	39	0	0	0
46	3	95	24	7239	2000	40	0	0	0
end
