//============================================================================
//Drop Settings: Box of KUNDUN + 5 Drops
//www.darksideofmu.com
//============================================================================
//	type,	index,	level,	skill,	exc,	option	name
//============================================================================

// Than Long
	7	21	0	0	1	0	//Helm
	8	21	0	0	1	1	//Armor
	9	21	0	0	1	0	//Pants
	10	21	0	0	1	1	//Gloves
	11	21	0	0	1	0	//Boots
	
	
	
// Thanh nu
	7	24	0	0	1	0	//Helm
	8	24	0	0	1	1	//Armor
	9	24	0	0	1	0	//Pants
	10	24	0	0	1	1	//Gloves
	11	24	0	0	1	0	//Boots
	
	
// Ma vuong
	7	22	0	0	1	0	//Helm
	8	22	0	0	1	1	//Armor
	9	22	0	0	1	0	//Pants
	10	22	0	0	1	1	//Gloves
	11	22	0	0	1	0	//Boots
	
	
	
// Cuong phong

	8	23	0	0	1	0	//Armor
	9	23	0	0	1	1	//Pants
	10	23	0	0	1	0	//Gloves
	11	23	0	0	1	1	//Boots
	

	
// Chi ton
	7	28	0	0	1	0	//Helm
	8	28	0	0	1	1	//Armor
	9	28	0	0	1	0	//Pants
	10	28	0	0	1	1	//Gloves
	11	28	0	0	1	0	//Boots
	
	
	
// Phuc ma
	7	42	0	0	1	0	//Helm
	8	42	0	0	1	1	//Armor
	9	42	0	0	1	0	//Pants
	10	42	0	0	1	1	//Gloves
	11	42	0	0	1	0	//Boots
	
	
// Quyen luc
	7	61	0	0	1	0	//Helm
	8	61	0	0	1	1	//Armor
	9	61	0	0	1	1	//Pants
	
	11	61	0	0	1	0	//Boots
	
	

// DK 380
	7	29	0	0	1	0	//Helm
	8	29	0	0	1	0	//Armor
	9	29	0	0	1	1	//Pants
	10	29	0	0	1	0	//Gloves
	11	29	0	0	1	1	//Boots


// DW
	7	30	0	0	1	1	//Helm
	8	30	0	0	1	0	//Armor
	9	30	0	0	1	0	//Pants
	10	30	0	0	1	1	//Gloves
	11	30	0	0	1	0	//Boots

// EF
	7	31	0	0	1	0	//Helm
	8	31	0	0	1	0	//Armor
	9	31	0	0	1	1	//Pants
	10	31	0	0	1	0	//Gloves
	11	31	0	0	1	1	//Boots

// MG

	8	32	0	0	1	1	//Armor
	9	32	0	0	1	1	//Pants
	10	32	0	0	1	0	//Gloves
	11	32	0	0	1	0	//Boots

// DL
	7	33	0	0	1	0	//Helm
	8	33	0	0	1	1	//Armor
	9	33	0	0	1	0	//Pants
	10	33	0	0	1	1	//Gloves
	11	33	0	0	1	0	//Boots

// Phuc ma
	7	43	0	0	1	0	//Helm
	8	43	0	0	1	0	//Armor
	9	43	0	0	1	1	//Pants
	10	43	0	0	1	0	//Gloves
	11	43	0	0	1	1	//Boots

// RF
	7	73	0	0	1	0	//Helm  RF
	8	73	0	0	1	1	//Armor RF
	9	73	0	0	1	0	//Pants RF
	
	11	73	0	0	1	1	//Boots RF


// Rings+Pendant
	13	26	0	0	1	0	//Pendant of Wind
	13	27	0	0	1	1	//Pendant of Water
	13	28	0	0	1	0	//Pendant of Ability
	13	26	0	0	1	1	//Pendant of Wind
	13	27	0	0	1	0	//Pendant of Water
	13	28	0	0	1	1	//Pendant of Ability
	
// 	Nam dam quyen luc
	0 	34	0	1	1	1

	
//	Sach ma cong
	5	23	0	1	1	1

	
//  kiem huy diet
	0	16	0	1	1	1

	
// qt
	2	11	0	1	1	1

	
// dai long dao
	3	10	0	1	1	1

	
// cung no
	4	16	0	1	1	0
	4	17	0	1	1	1
	
// gay 
	5	9	0	1	1	1
	5	18	0	1	1	0
	
// khien
	6	13	0	1	1	1
	6	15	0	1	1	0
	6	16	0	1	1	1
	6	21	0	1	1	0
	
// ao anh dao
	0	31	0	1	1	1
	0	35	0	1	1	1
	0	22	0	1	1	1
	0	23	0	1	1	1
	2	14	0	1	1	1
	4	21	0	1	1	1
	5	12	0	1	1	1
	5	19	0	1	1	1
	5	34	0	1	1	1
