//============================================================================
//Drop Settings: Box of KUNDUN + 3 Drops
//www.darksideofmu.com
//============================================================================
//	type,	index,	level,	skill,	exc,	option	name
//============================================================================

//Dragon set
	7	1	0	0	1	0	//Helm
	8	1	0	0	1	1	//Armor
	9	1	0	0	1	0	//Pants
	10	1	0	0	1	1	//Gloves
	11	1	0	0	1	0	//Boots
	
	

	7	14	0	0	1	1	//Helm
	8	14	0	0	1	0	//Armor
	9	14	0	0	1	1	//Pants
	10	14	0	0	1	0	//Gloves
	11	14	0	0	1	1	//Boots


	

	7	3	0	0	1	1	//Helm
	8	3	0	0	1	0	//Armor
	9	3	0	0	1	1	//Pants
	10	3	0	0	1	0	//Gloves
	11	3	0	0	1	1	//Boots




	8	15	0	0	1	1	//Armor
	9	15	0	0	1	0	//Pants
	10	15	0	0	1	1	//Gloves
	11	15	0	0	1	0	//Boots       

	
// Huyen thuyet

	7	26	0	0	1	1	//Helm
	8	26	0	0	1	0	//Armor
	9	26	0	0	1	1	//Pants
	10	26	0	0	1	0	//Gloves
	11	26	0	0	1	1	//Boots

	
// Hoa thien

	7	40	0	0	1	0	//Helm
	8	40	0	0	1	1	//Armor
	9	40	0	0	1	0	//Pants
	10	40	0	0	1	1	//Gloves
	11	40	0	0	1	0	//Boots
	
// Dia long 
	
	7	59	0	0	1	1	//Helm
	8	59	0	0	1	0	//Armor
	9	59	0	0	1	1	//Pants
	
	11	59	0	0	1	0	//Boots
	
//Rings+Pendant
	
	13	8	0	0	1	1	//Ring of Ice
	13	9	0	0	1	0	//Ring of Poison
	13	12	0	0	1	1	//Pendant of Lightning
	13	13	0	0	1	0	//Pendant of Fire	
	5	21	0	1	1	1	//Book of Sahamutt
	
// Tay RF

	0	32	0	1	1	1
	
// Luoi hai tu than

	3	8	0	1	1	0	
//	3 	9	0	1	0	1
	3	9	0	1	1	0	
	
// Gay Trieu hoi
//	5	16	0	1	0	0	
	5	16	0	1	1	1
	
// QT 
//	2	9	0	1	0	0	
	2	9	0	1	1	1

// Cung no
//	4	5	0	1	0	0
	4	5	0	1	1	1	

	
//=========================================================================================




//Sword
	0	9	0	1	1	1	//Sword of Salamander
	0	10	0	1	1	0	//Light Saber
	0	11	0	1	1	1	//Legendary Sword
	0	12	0	1	1	0	//Heliacal Sword

//Axes
	1	5	0	1	1	1	//Battle Axe
	1	6	0	1	1	0	//Nikea Axe
	1	7	0	1	1	0	//Larkan Axe
	1	8	0	1	1	1	//Crescent Axe

//Blunt weapons
	2	5	0	1	1	0	//Crystal Sword
	2	6	0	1	1	1	//Chaos Dragon Axe
	2	7	0	1	1	0	//Elemental Mace
	2	8	0	1	1	1	//Battle Scepter

//Spears
	3	0	0	1	1	0	//Light Spear
	3	1	0	1	1	1	//Spear
	3	2	0	1	1	0	//Dragon Lance
	3	3	0	1	1	1	//Great Trident

//Bows & Crossbows
	4	4	0	1	1	0	//Tiger Bow
	4	13	0	1	1	1	//Bluewing Crossbow

//Staffs
	5	5	0	1	1	1	//Legendary Staff
	5	6	0	1	1	0	//Staff of Resurrection
	5	22	0	1	1	1	//Book of Neil

//Shields
	6	8	0	1	1	0	//Tower Shield
	6	9	0	1	1	1	//Plate Shield
	6	10	0	1	1	0	//Large Round Shield

// khien kim long
	//6	5	0	1	0	0
	6	5	0	1	1	0	
