//==============================================================================
//Monster Set Base
//Repack SCFMT/TitansTech 10.09.03 by Antiferna
//www.antifernamu.com
//------------------------------------------------------------------------------
//Revision 08 May, 2011	
//==============================================================================
//0 - Guards / NPC / Traps
//1 - Spots
//2 - Normal Monster
//3 - Bone King / Golden Monsters
//4 - Blood Castle Monsters / Gate / Others

//=========================================================================================
//	Invasion Golden
//=========================================================================================
//Mob	Map	Radio	CordX	CordY	CordX2	CordY2	Dir 	Quant  Name	
3
43	3	30	10	10	240	240	-1	1 // Golden Budge Dragon => Noria
44	0	30	182	128	195	145	-1	1 // Dragon => Lorencia
53	2	5	147	88	147	88	-1	1 // Golden Titan => Davias
54	0	30	183	128	188	135	-1	1 // Golden Soldier => Lorencia
55	0	30	132	83	132	83	-1	1 // Death King => Lorencia
56	0	30	132	83	138	90	-1	1 // Death Bone => Lorencia
78	0	7	150	68	150	68	-1	1 // Golden Goblin => Lorencia
78	3	7	168	68	168	68	-1	1 // Golden Goblin => Noria
79	0	7	76	139	76	139	-1	1 // Golden Derkon => Lorencia
79	2	7	172	114	172	114	-1	1 // Golden Derkon => Davias
79	3	7	192	154	192	154	-1	1 // Golden Derkon => Noria
81	7	7	145	66	145	66	-1	1 // Golden Vepar => Atlans
81	7	7	106	100	106	100	-1	1 // Golden Vepar => Atlans
80	8	7	142	58	142	58	-1	1 // Golden Lizard King => Tarkan
80	8	7	68	125	68	125	-1	1 // Golden Lizard King => Tarkan
82	8	7	124	71	124	71	-1	1 // Golden Tantalos => Tarkan
82	8	7	72	92	72	92	-1	1 // Golden Tantalos => Tarkan
83	8	7	96	131	96	131	-1	1 // Golden Wheel => Tarkan
end
//=========================================================================================							
//	LorenMarket NPCs					
//=========================================================================================							
//Mob	Map	Rad	X	Y	Str	Name	
0
545 	79	0	112	116	3	//Christine
546 	79	0	113	119	3	//Raul
547	79	0	123	140	1	//Julia
240     79      0       124     124     3	//Baz, Storage Guard
253	79	0	134	137	2	//Amy, Potion Girl
//368     79      0       109     133     3	//Elpis
end


//=========================================================================================						
//	Lorencia NPCs						
//=========================================================================================						
//Mob	Map	Rad	X	Y	Str	Name
0
543           0                 0                136            124            3	//Gens Duprian Steward
544           0                 0                136            131            3	//Gens Vanert Steward
226	0	0	122	110	3	//Trainer
230	0	0	135	130	3	//Alex
235	0	0	137	121	3 	// Sebina the Priest  => Devias
236	0	0	175	120	3	//Golden Archer

240	0	0	146	110	3	//Baz, Storage Guard
240	0	0	147	145	1	//Baz, Storage Guard

250	0	3	146	129	3	//Shop DL
251	0	3	148	129	3	//Shop DK
242	0	3	150	129	3	//Shop ELF
254	0	3	146	126	3	//Shop DW
417	0	3	148	126	2	//Shop SUM
253 	0  	0  	150  	126  	1  	//Shop MG
546     0       0       152     128     3       //Raul
231	0	0	137	133	1 	// Shop wing full


547	0	0	125	144	3 	// dich chuyen
415	0	0	134	127	3 	// Shop wing mini
416	0	0	134	125	3 	// Shop wing ss8


255	0	0	123	135	1	//Liaman, Barmaid 
244	0	0	125	135	1	//Lumen, Barmaid
247	0	0	114	125	3	//Crosbow Guard
257	0	0	96	129	1	//Elf Soldier
257	0	0	174	129	1	//Elf Soldier
406	0	0	137	123	3	//Chaos Card Master				
233	0	0	141	140	1	//BC
237	0	0	144	140	1	//DS
256	0	0	130	126	3	//JewelMix
479	0	0	130	133	3	//Gatekeeper Titus
379	0	0	130	121	3	//Fireworks Girl
452	0	0	150	139	1	//Seed Jewel creator
375	0	0	131	147	1	//Chaos Card Master
