/////////////////////////////////////////////////////////////////
//                                                             //
//              Repack IonGames Files 11.12.20                 //
//                                                             //
//           IonGames © 2012 - 2012 BY IonGames                //
//                 www.ionmuonline.com                         //
//                                                             //
//                 ionmuonline@hotmail.com                     //
/////////////////////////////////////////////////////////////////
//======================================================================================
//Data - for ask for help to Bot Buffer player must put /bot helper near Bot Buffer
//BotBuffer Must be in Safe Zone
//======================================================================================
//OnlyVip  = This bot is only for VIP users
//Class    = 0,1,2	DW,SM,GM
//	   = 16,17,18	DK,BK,BM
//	   = 32,33,34	Elf,ME,HE
//	   = 48,49,50	MG,DM
//	   = 64,65,66	DL,LE
//	   = 80,81,82	SU,BS,DS
//======================================================================================
//BotIndex	Class	OnlyVip	MaxLvl	Name	 Map	X	Y	Dir
//Elbeland buffer 
1 
//lorencia
0		18	0	401	"IonGames"	0	157	129	3
//15		18	0	401	"IonGames"	0	143	138	2


1		82	0	401	"Sum-Ion"	0	160	129	3
2		3	0	401	"Sm-Ion"	0	163	129	3  
3		65	0	401	"Dl-Ion"	0	166	129	3  
4		33	0	400	"Elf-Ion"	0	169	129	3  
//noria 
5		18	0	401	"BM_Noria"	3	174	116	2
6		82	0	401	"Sum-Noria"	3	169	110	2
7		3	0	401	"Sm-Noria"	3	168	103	3  
8		65	0	401	"Dl-Noria"	3	186	104	2  
9		33	0	401	"Elf Noria"	3	197	118	2  
//elbeland 
10		18	0	401	"Bm_Ion"	51	53	223	2
11		82	0	401	"Sum-Ion"	51	38	222	2
12		3	0	401	"Sm-Ion"	51	45	215	3  
13		65	0	401	"Dl-Ion"	51	56	212	2  
14		33	0	401	"Elf_Ion"	51	64	206	2
end
//BotPet Items
//Slot:
//0 = Weapon
//1 = Shield
//2 = Helm
//3 = Armor
//4 = Pants
//5 = Gloves
//6 = Boots
//7 = Wings
//8 = Pet
//BotIndex	Slot	Type	Index	Level	Opt
2
0               0       0       27      15      63
0               1       0       27      15      63
0		2	7	97	15	63
0		3	8	97	15	63
0		4	9	97	15	63
0		5	10	97	15	63
0		6	11	97	15	63
//0		7	12	131	15	63




1               0       5       34      15      63
1		2	7	53	15	63
1		3	8	53	15	63
1		4	9	53	15	63
1		5	10	53	15	63
1		6	11	53	15	63
//1		7	12	43	15	63

2               0       5       31      15      63
2               1       6       20      15      63
2		2	7	92	15	63
2		3	8	92	15	63
2		4	9	92	15	63
2		5	10	92	15	63
2		6	11	92	15	63
//2		7	12	37	15	63 

3               0       2       18      15      63
3               1       6       11      15      63
3		2	7	96	15	63
3		3	8	96	15	63
3		4	9	96	15	63
3		5	10	96	15	63
3		6	11	96	15	63
//3		7	12	131	15	63  
 
 
4               1       4       24      15      63
4		2	7	95	15	63
4		3	8	95	15	63
4		4	9	95	15	63
4		5	10	95	15	63
4		6	11	95	15	63  
//4		7	12	38	15	63 
//noria buffer 
5               0       0       27      15      63
5               1       0       27      15      63
5		2	7	46	15	63
5		3	8	46	15	63
5		4	9	46	15	63
5		5	10	46	15	63
5		6	11	46	15	63
//5		7	12	36	15	63

6               0       5       34      15      63
6		2	7	53	15	63
6		3	8	53	15	63
6		4	9	53	15	63
6		5	10	53	15	63
6		6	11	53	15	63
//6		7	12	43	15	63

7               0       5       31      15      63
7               1       6       20      15      63
7		2	7	52	15	63
7		3	8	52	15	63
7		4	9	52	15	63
7		5	10	52	15	63
7		6	11	52	15	63
//7		7	12	37	15	63 

8               0       2       18      15      63
8               1       6       11      15      63
8		2	7	26	15	63
8		3	8	26	15	63
8		4	9	26	15	63
8		5	10	26	15	63
8		6	11	26	15	63
//8		7	13	30	15	63  
 
 
9               1       4       17      15      63
9		2	7	24	15	63
9		3	8	24	15	63
9		4	9	24	15	63
9		5	10	24	15	63
9		6	11	24	15	63  
//9		7	12	0	15	63  
//elbeland 
10               0       0       27      15      63
10               1       0       27      15      63
10		2	7	46	15	63
10		3	8	46	15	63
10		4	9	46	15	63
10		5	10	46	15	63
10		6	11	46	15	63
10		7	12	36	15	63

11               0       5       34      15      63
11		2	7	53	15	63
11		3	8	53	15	63
11		4	9	53	15	63
11		5	10	53	15	63
11		6	11	53	15	63
11		7	12	43	15	63

12               0       5       31      15      63
12               1       6       20      15      63
12		2	7	52	15	63
12		3	8	52	15	63
12		4	9	52	15	63
12		5	10	52	15	63
12		6	11	52	15	63
12		7	12	37	15	63 

13               0       2       18      15      63
13               1       6       11      15      63
13		2	7	26	15	63
13		3	8	26	15	63
13		4	9	26	15	63
13		5	10	26	15	63
13		6	11	26	15	63
13		7	13	30	15	63  
 
 
14              1       4       17      15      63
14		2	7	24	15	63
14		3	8	24	15	63
14		4	9	24	15	63
14		5	10	24	15	63
14		6	11	24	15	63  
14		7	12	0	15	63 


//15              0       0       27      15      63
//15              1       0       27      15      63
//15		2	7	97	15	63
//15		3	8	97	15	63
//15		4	9	97	15	63
//15		5	10	97	15	63
//15		6	11	97	15	63
//15		7	12	131	15	63 
end 

//Allowed Skills:
//16	(Mana Shield)
//27	(Greater Defense)
//28	(Greater Damage)
//48	(Greater Fortitude)
//64	(Critical Damage)
//217	(Reflect)
//233	(Magic Circle)
//
//MAX SKILLS PER BOT = 5
//BotIndex	Skill	BuffTime
3
0		48	600
1		217	600
2		233	600
2		16	600
3               64      600 
4               27      600 
 
5		48	600
6		217	600
7		233	600
7		16	600
8               64      600 
9               27      600 
 
10		48	600
11		217	600
12		233	600
12		16	600
13              64      600 
14              27      600
end
