// Column1 option add images
// Ex: |1|1|Kris|1|2|NO|NO| 	==> option IMG => [0100100]
// Ex: 20|2|2|Kris|1|2|NO|NO| 	==> option IMG => [0100220]
// Ex: 0002200|0|22|Kris|1|2|NO|NO| 	==> option IMG => [0002200]
// Column1|TP|ID|NAME|X|Y|SetItem1|SetItem2
0000000|0|0|Kris|1|2|NO|NO|
0000100|0|1|Short Sword|1|3|NO|NO
0000200|0|2|Rapier|1|3|Ceto|NO
0000300|0|3|Katana|1|3|NO|NO
0000400|0|4|Assassin Sword|1|3|NO|NO
0000500|0|5|Blade|1|3|NO|NO
0000600|0|6|Gladius|1|3|NO|NO
0000700|0|7|Falchion|1|3|NO|NO
0000800|0|8|Serpent Sword|1|3|NO|NO
0000900|0|9|Salamandrer Sword|2|3|NO|NO
0001000|0|10|Light Saber|2|4|NO|NO
0001100|0|11|Legendary Sword|2|3|NO|NO
0001200|0|12|Helical Sword|2|3|NO|NO
0001300|0|13|Double Blade|1|3|NO|NO
0001400|0|14|Lightning Sword|1|3|Hyon|NO
0001500|0|15|Gigant Sword|2|3|NO|NO
0001600|0|16|Destruction Sword|1|4|NO|NO
0001700|0|17|Spirit Sword|2|4|NO|NO
0001800|0|18|Thunder Blade|2|3|NO|NO
0001900|0|19|Divine Sword|1|4|NO|NO
0002000|0|20|Knight Sword|1|4|NO|NO
0002100|0|21|BlackReign Blade|2|4|NO|NO
0002200|0|22|Bone Sword|1|4|NO|NO
0002300|0|23|Explosion Blade|2|4|NO|NO
0002400|0|24|DayBreak Sword|2|4|NO|NO
0002500|0|25|Fire Blade|2|4|NO|NO
0002600|0|26|Flame Sword|1|4|NO|NO
0002700|0|27|Bracker Sword|1|4|NO|NO
0002800|0|28|Imperial Sword|1|4|NO|NO
0003100|0|31|Rune Blade|2|4|NO|NO
0003200|0|32|Sacred Glove|1|2|Vega's|Chamereuui's
0003300|0|33|Holly Storm Claws|1|2|NO|NO
0003400|0|34|Piercing Glove|1|2|NO|NO
0003500|0|35|Majestic Sword|1|4|NO|NO
0003600|0|36|Executioner Sword|2|4|NO|NO
0003700|0|37|Viper Sword|2|4|NO|NO
0003800|0|38|Tectonic Sword|2|4|NO|NO
0003900|0|39|Kingdom Sword|2|4|NO|NO
0004000|0|40|Illusion Eye Sword|1|4|NO|NO
0004100|0|41|Ashbringer Sword|2|4|NO|NO
0004200|0|42|Revenge Sword|1|4|NO|NO
0004300|0|43|Emerald Sword|1|4|NO|NO
0004400|0|44|Heaven Sword|1|4|NO|NO
0004500|0|45|Regal Bone Blade|1|4|NO|NO
0004600|0|46|Dismanttler Sword|1|4|NO|NO
0004700|0|47|Hanna Sword|2|4|NO|NO
0004800|0|48|Quantum Sword|1|4|NO|NO
0004900|0|49|Swiss Sword|1|4|NO|NO
0005000|0|50|Limpid Sword|1|4|NO|NO
0005100|0|51|Archlord Sword|1|4|NO|NO
0005200|0|52|Chaos Guard Sword|2|4|NO|NO
0005300|0|53|Typhoon Sword|1|4|NO|NO
0005400|0|54|Hunter Sword|1|4|NO|NO
0005500|0|55|Hell Mine Sword|1|4|NO|NO
0005600|0|56|Lionheart Sword|1|4|NO|NO
0005700|0|57|Eudemons Sword|1|4|NO|NO
0005800|0|58|Shahram Sword|1|4|NO|NO
0005900|0|59|Might Sword|1|4|NO|NO
0006000|0|60|Greatsword Sword|1|4|NO|NO
0006100|0|61|Obsidian Sword|1|4|NO|NO
0006200|0|62|Arcanite Sword|1|4|NO|NO
0006300|0|63|Slayer Sword|1|4|NO|NO
0006400|0|64|Rivendare Sword|1|4|NO|NO
0006500|0|65|Protector Sword|1|4|NO|NO
0006600|0|66|Venturian Sword|2|4|NO|NO
0006700|0|67|Templarius Sword|1|4|NO|NO
0006800|0|68|Skeleton Sword|1|4|NO|NO
0006900|0|69|Silver Sword|1|4|NO|NO
|0|100|Flame of Narsil|1|4|NO|NO
|0|101|Hellfire Sword|1|4|NO|NO
|0|102|Emperor Sword|1|4|NO|NO
|0|103|Sword of Omen|1|4|NO|NO
|0|104|Royal Claws|3|1|NO|NO
|0|105|Moon Blade|2|4|NO|NO
|0|106|xCyclone Sword|1|4|NO|NO
|0|107|xAsura|2|4|NO|NO
|0|108|xBlast Breaker|2|4|NO|NO
|0|109|Glory Breaker|2|4|NO|NO
