bqngoc|bqngoc đã mua Linh hồn sói tinh + Phòng thủ (Serial: 38070) giá 50.000 V.Point|694379_384146|694379_334146|10:19PM, 09/01/2017|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37345) giá 50.000 V.Point|7097_8885095502|7097_8885045502|07:30PM, 25/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37483) giá 50.000 V.Point|7097_8880425502|7097_8880375502|12:57PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37484) giá 50.000 V.Point|7097_8880375502|7097_8880325502|01:00PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37485) giá 50.000 V.Point|7097_8880325502|7097_8880275502|01:01PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37486) giá 50.000 V.Point|7097_8880275502|7097_8880225502|01:02PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37487) giá 40.000 V.Point|7097_8880225502|7097_8880185502|01:02PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37488) giá 40.000 V.Point|7097_8880185502|7097_8880145502|01:05PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37489) giá 40.000 V.Point|7097_8880145502|7097_8880105502|01:05PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37567) giá 50.000 V.Point|7097_8877345502|7097_8877295502|02:22PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37694) giá 50.000 V.Point|7097_8873698302|7097_8873648302|04:52PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37695) giá 40.000 V.Point|7097_8873648302|7097_8873608302|04:53PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh + Phòng thủ (Serial: 37696) giá 50.000 V.Point|7097_8873608302|7097_8873558302|04:53PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37697) giá 40.000 V.Point|7097_8873558302|7097_8873518302|04:53PM, 26/12/2016|
1234|1234 đã mua Linh hồn sói tinh (Serial: 37698) giá 40.000 V.Point|7097_8873518302|7097_8873478302|04:53PM, 26/12/2016|
