bqngoc|bqngoc đã mua Quyền Trượng Thái Dương (Serial: 38069) giá 100.000 V.Point|694379_484146|694379_384146|10:18PM, 09/01/2017|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37243) giá 100.000 V.Point|7097_8885155502|7097_8885055502|04:25PM, 25/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37460) giá 100.000 V.Point|7097_8882535502|7097_8882435502|11:46AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37462) giá 60.000 V.Point|7097_8882375502|7097_8882315502|11:47AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37463) giá 60.000 V.Point|7097_8882315502|7097_8882255502|11:48AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37465) giá 60.000 V.Point|7097_8882255502|7097_8882195502|11:50AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37466) giá 60.000 V.Point|7097_8882195502|7097_8882135502|11:50AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37467) giá 100.000 V.Point|7097_8882135502|7097_8882035502|11:50AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37468) giá 100.000 V.Point|7097_8882035502|7097_8881935502|11:51AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37469) giá 100.000 V.Point|7097_8881935502|7097_8881835502|11:51AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37470) giá 60.000 V.Point|7097_8881835502|7097_8881775502|11:52AM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37542) giá 60.000 V.Point|7097_8878165502|7097_8878105502|01:50PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37543) giá 100.000 V.Point|7097_8878105502|7097_8878005502|01:50PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37576) giá 100.000 V.Point|7097_8876790502|7097_8876690502|02:41PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37582) giá 100.000 V.Point|7097_8876690502|7097_8876590502|02:47PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37583) giá 100.000 V.Point|7097_8876590502|7097_8876490502|02:48PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Đại Vương (Serial: 37596) giá 60.000 V.Point|7097_8876095502|7097_8876035502|03:32PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37709) giá 100.000 V.Point|7097_8872878302|7097_8872778302|04:59PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Thái Dương (Serial: 37765) giá 100.000 V.Point|7097_8869675502|7097_8869575502|05:29PM, 26/12/2016|
1234|1234 đã mua Quyền Trượng Bóng Tối (Serial: 37826) giá 60.000 V.Point|7097_8868492502|7097_8868432502|06:30PM, 26/12/2016|
