bqngoc|bqngoc đã mua Khiên Hỏa Long (Serial: 38068) giá 40.000 V.Point|694379_524146|694379_484146|10:18PM, 09/01/2017|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37241) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:24PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37249) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:40PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37250) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:44PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37251) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:45PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37252) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:46PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37253) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:50PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37254) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:50PM, 25/12/2016|
1234|1234 đã mua Khiên Thập Tự (Serial: 37255) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:50PM, 25/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37256) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:50PM, 25/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37258) giá 60.000 V.Point|7097_8885155502|7097_8885095502|04:57PM, 25/12/2016|
1234|1234 đã mua Khiên Tiên Nữ (Serial: 37431) giá 40.000 V.Point|7097_8884095502|7097_8884055502|11:25AM, 26/12/2016|
1234|1234 đã mua Khiên Triệu Hồn (Serial: 37432) giá 60.000 V.Point|7097_8884055502|7097_8883995502|11:25AM, 26/12/2016|
1234|1234 đã mua Khiên Băng Tinh (Serial: 37459) giá 50.000 V.Point|7097_8882585502|7097_8882535502|11:45AM, 26/12/2016|
1234|1234 đã mua Khiên Giác Đấu (Serial: 37461) giá 60.000 V.Point|7097_8882435502|7097_8882375502|11:46AM, 26/12/2016|
1234|1234 đã mua Khiên Giác Đấu (Serial: 37475) giá 60.000 V.Point|7097_8881295502|7097_8881235502|11:59AM, 26/12/2016|
1234|1234 đã mua Khiên Giác Đấu (Serial: 37476) giá 60.000 V.Point|7097_8881235502|7097_8881175502|12:03PM, 26/12/2016|
1234|1234 đã mua Khiên Triệu Hồn (Serial: 37477) giá 60.000 V.Point|7097_8881175502|7097_8881115502|12:04PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37539) giá 60.000 V.Point|7097_8878285502|7097_8878225502|01:48PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37541) giá 60.000 V.Point|7097_8878225502|7097_8878165502|01:49PM, 26/12/2016|
1234|1234 đã mua Khiên Băng Tinh (Serial: 37659) giá 50.000 V.Point|7097_8875220502|7097_8875170502|04:42PM, 26/12/2016|
1234|1234 đã mua Khiên Băng Tinh (Serial: 37662) giá 50.000 V.Point|7097_8875170502|7097_8875120502|04:43PM, 26/12/2016|
1234|1234 đã mua Khiên Ma Thuật (Serial: 37664) giá 50.000 V.Point|7097_8875120502|7097_8875070502|04:43PM, 26/12/2016|
1234|1234 đã mua Khiên Băng Tinh (Serial: 37688) giá 50.000 V.Point|7097_8873868302|7097_8873818302|04:51PM, 26/12/2016|
1234|1234 đã mua Khiên Triệu Hồn (Serial: 37689) giá 60.000 V.Point|7097_8873818302|7097_8873758302|04:51PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37690) giá 60.000 V.Point|7097_8873758302|7097_8873698302|04:51PM, 26/12/2016|
1234|1234 đã mua Khiên Tiên Nữ (Serial: 37710) giá 40.000 V.Point|7097_8872778302|7097_8872738302|04:59PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37711) giá 60.000 V.Point|7097_8872738302|7097_8872678302|04:59PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37712) giá 60.000 V.Point|7097_8872678302|7097_8872618302|05:01PM, 26/12/2016|
1234|1234 đã mua Khiên Ma Thuật (Serial: 37713) giá 50.000 V.Point|7097_8872618302|7097_8872568302|05:01PM, 26/12/2016|
1234|1234 đã mua Khiên Vinh Quang (Serial: 37743) giá 60.000 V.Point|7097_8871098302|7097_8871038302|05:14PM, 26/12/2016|
1234|1234 đã mua Khiên Ma Thuật (Serial: 37759) giá 50.000 V.Point|7097_8869885502|7097_8869835502|05:27PM, 26/12/2016|
1234|1234 đã mua Khiên Tiên Nữ (Serial: 37832) giá 40.000 V.Point|7097_8868212502|7097_8868172502|06:30PM, 26/12/2016|
1234|1234 đã mua Khiên Ma Thuật (Serial: 37833) giá 50.000 V.Point|7097_8868172502|7097_8868122502|06:30PM, 26/12/2016|
