DATETIME,ERRORLEVEL,TAG,VALUE,LINE,FILE
"2015-09-21 11:57:41",DEBUG,DB,"DELETE FROM messages WHERE id = 8;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-21 11:57:43",DEBUG,DB,"DELETE FROM messages WHERE id = 4;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-21 11:57:46",DEBUG,DB,"DELETE FROM messages WHERE id = 3;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-22 18:35:54",DEBUG,DB,"DELETE FROM messages WHERE id = 22;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 17:38:23",DEBUG,DB,"DELETE FROM topics WHERE id = 4;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 17:41:40",DEBUG,DB,"DELETE FROM messages WHERE id = 13;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 18:20:28",DEBUG,DB,"DELETE FROM topics WHERE id = 4;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 18:20:39",DEBUG,DB,"DELETE FROM topics WHERE id = 4;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 18:23:05",DEBUG,DB,"DELETE FROM topics WHERE id = 3;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-23 19:07:37",DEBUG,DB,"DELETE FROM messages WHERE id = 14;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-24 04:06:45",DEBUG,DB,"DELETE FROM topics WHERE id = 2;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-24 04:07:00",DEBUG,DB,"DELETE FROM topics WHERE id = 2;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-24 04:10:02",DEBUG,DB,"DELETE FROM messages WHERE id = 22;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-24 04:10:21",DEBUG,DB,"DELETE FROM topics WHERE id = 12;",52,"C:\xampp\htdocs\forum\delete.php"
"2015-09-24 05:02:48",DEBUG,DB,"DELETE FROM topics WHERE id = 12;",44,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:44:39",DEBUG,DB,"DELETE FROM messages WHERE id = 20;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:44:56",DEBUG,DB,"DELETE FROM messages WHERE id = 20;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:45:09",DEBUG,DB,"DELETE FROM messages WHERE id = 21;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:45:28",DEBUG,DB,"DELETE FROM messages WHERE id = 23;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:47:27",DEBUG,DB,"DELETE FROM messages WHERE id = 23;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:49:14",DEBUG,DB,"DELETE FROM messages WHERE id = 23;",59,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 09:53:07",DEBUG,DB,"DELETE FROM messages WHERE id = 24;",60,"C:\xampp\htdocs\forum\delete.php"
"2015-09-25 14:01:13",DEBUG,DB,"DELETE FROM topics WHERE id = 3;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:32:06",DEBUG,DB,"DELETE FROM topics WHERE id = 17;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:32:08",DEBUG,DB,"DELETE FROM topics WHERE id = 16;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:43:52",DEBUG,DB,"DELETE FROM topics WHERE id = 20;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:43:54",DEBUG,DB,"DELETE FROM topics WHERE id = 19;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:44:02",DEBUG,DB,"DELETE FROM topics WHERE id = 18;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:44:03",DEBUG,DB,"DELETE FROM topics WHERE id = 17;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:44:04",DEBUG,DB,"DELETE FROM topics WHERE id = 16;",45,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:44:40",DEBUG,DB,"DELETE FROM topics WHERE id = 21;",53,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:45:18",DEBUG,DB,"DELETE FROM messages WHERE id = 14;",67,"C:\wamp\www\forum\delete.php"
"2015-09-25 14:45:20",DEBUG,DB,"DELETE FROM messages WHERE id = 9;",67,"C:\wamp\www\forum\delete.php"
"2015-09-26 08:51:11",DEBUG,DB,"DELETE FROM messages WHERE id = 29;",60,"C:\wamp\www\forum\delete.php"
"2015-09-26 08:51:13",DEBUG,DB,"DELETE FROM messages WHERE id = 23;",60,"C:\wamp\www\forum\delete.php"
"2015-09-26 08:52:04",DEBUG,DB,"DELETE FROM topics WHERE id = 17;",53,"C:\wamp\www\forum\delete.php"
"2015-09-26 08:52:43",DEBUG,DB,"DELETE FROM categories WHERE id = 7;",31,"C:\wamp\www\forum\delete.php"
"2015-09-26 08:55:13",DEBUG,DB,"DELETE FROM categories WHERE id = 8;",31,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:14:49",DEBUG,DB,"DELETE FROM messages WHERE id = 13;",60,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:15:15",DEBUG,DB,"DELETE FROM categories WHERE id = 9;",31,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:17:00",DEBUG,DB,"DELETE FROM categories WHERE id = 10;",31,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:41:52",DEBUG,DB,"DELETE FROM categories WHERE id = 11;",31,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:42:02",DEBUG,DB,"DELETE FROM messages WHERE id = 10;",60,"C:\wamp\www\forum\delete.php"
"2015-09-26 09:42:17",DEBUG,DB,"DELETE FROM messages WHERE id = 31;",60,"C:\wamp\www\forum\delete.php"
"2015-09-26 11:15:31",DEBUG,DB,"DELETE FROM categories WHERE id = 12;",35,"C:\wamp\www\forum\delete.php"
"2015-09-26 11:17:13",DEBUG,DB,"DELETE FROM messages WHERE id = 32;",64,"C:\wamp\www\forum\delete.php"
"2015-09-26 11:20:53",DEBUG,DB,"DELETE FROM messages WHERE id = 25;",64,"C:\wamp\www\forum\delete.php"
"2015-09-26 11:26:44",DEBUG,DB,"DELETE FROM topics WHERE id = 16;",49,"C:\wamp\www\forum\delete.php"
